Plot,Observed,Predicted
918,0.5,0.54576457
919,1,0.6896631
920,0.866666667,0.48106417
921,0.382352941,0.53322226
922,0,0.000254355
923,0,0.3514214
924,0.833333333,0.67061055
925,0.066666667,0.20140612
926,0.8125,0.78643423
927,0.882352941,0.76308995
928,0.411764706,0.51724327
929,0.125,0.04055173
930,0.117647059,0.25493804
931,0.147058824,0.27926362
932,0.444444444,0.3631066
933,0,0.24984708
934,0.48,0.2948006
935,0.36,0.44815284
936,0.294117647,0.37340558
937,0.722222222,0.5434417
938,0.928571429,0.6021861
939,0.066666667,0.48384273
940,0.777777778,0.7949161
941,0.733333333,0.6590608
942,0.3125,0.4163687
943,0.55,0.4864972
944,0.75,0.530037
945,0.444444444,0.5834295
946,0.4375,0.4538118
947,0.230769231,0.2831148
948,0.407407407,0.25535813
949,0.272727273,0.19154796
950,0.75,0.7434025
951,0.407407407,0.5508716
952,0.5,0.38269418
953,0.5625,0.44169766
954,0.451612903,0.36277956
955,0.857142857,0.74627554
956,1,0.8171167
957,0.447368421,0.5780258
958,0,0.107937895
959,0.117647059,0.20350733
960,0.384615385,0.4815523
961,0.692307692,0.5797364
962,0.153846154,0.08532464
963,0.733333333,0.7321009
964,0.125,0.059525974
965,0.857142857,0.7297636
966,0.392857143,0.43398395
967,0.173913043,0.55622804
968,0.45,0.6818217
969,1,0.72438735
970,0.545454545,0.42199373
971,0.434782609,0.5944616
972,0.56,0.32531333
973,0.857142857,0.34963816
974,0.090909091,0.32775968
975,0.846153846,0.32444414
976,0.333333333,0.2899161
977,0.85,0.53657156
978,0.15,0.0439562
979,0.714285714,0.5966366
980,0,0.032028563
981,0.80952381,0.47098577
982,0.294117647,0.41995108
983,0.6875,0.4034824
984,0.444444444,0.5263198
985,0.368421053,0.25706628
986,0.333333333,0.36314243
987,0.666666667,0.5170889
988,0,0.30694893
989,0.5,0.4823091
990,0.538461538,0.35247022
991,0.857142857,0.5778685
992,0.739130435,0.70609045
993,0.88,0.7140191
994,0.380952381,0.37405294
995,0.142857143,0.54232013
996,0,0.083243646
997,0.407407407,0.4859316
998,0.705882353,0.77042085
999,0.526315789,0.25598246
